               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10992,            0.021263,            0.053329,           0.0095025,             0.10667,           0.0086258,           0.0014116,            0.083069,            0.015795,            0.062143,              0.0012,              0.0012,              0.0892
                   1,            0.089505,            0.024731,            0.050835,            0.013752,             0.39333,            0.012208,           0.0016969,            0.068138,            0.016318,            0.050893,           0.0024835,           0.0024835,            0.077484
                   2,            0.076506,            0.024518,            0.049044,             0.34321,             0.08304,            0.090273,            0.015837,            0.055071,            0.014723,            0.047054,           0.0037498,           0.0037498,             0.06575
                   3,            0.064171,            0.023114,            0.043564,              0.7126,             0.12891,             0.10476,            0.028776,            0.061875,            0.012982,            0.053871,            0.004999,            0.004999,            0.053999
                   4,             0.06628,              0.0216,            0.041462,             0.68072,                0.13,            0.077192,            0.018711,            0.062756,            0.011728,            0.050784,            0.006231,            0.006231,            0.042231
                   5,            0.066849,            0.022408,             0.04024,             0.36861,             0.40333,             0.20749,            0.048313,            0.062864,            0.011379,            0.043046,           0.0074459,           0.0074459,            0.030446
                   6,             0.06598,            0.019709,            0.036137,             0.65583,                0.17,            0.057835,             0.01125,             0.07158,             0.01001,            0.040652,           0.0086436,           0.0086436,            0.018644
                   7,             0.07137,            0.016994,            0.033833,             0.12525,             0.52231,             0.22431,            0.066692,            0.066637,           0.0091563,            0.037054,            0.009538,            0.009538,            0.009538
                   8,            0.072264,            0.018017,            0.029195,             0.22694,             0.58667,             0.33106,             0.14653,            0.062936,            0.011771,            0.031677,            0.009538,            0.009538,            0.009538
                   9,            0.063997,            0.017715,             0.02966,             0.51817,             0.46667,             0.34523,             0.11098,            0.060163,           0.0094814,            0.034406,            0.009472,            0.009472,            0.009472
                  10,             0.06262,            0.018006,            0.028275,             0.50235,             0.44031,              0.2937,            0.086348,            0.068411,           0.0089801,            0.039443,            0.009406,            0.009406,            0.009406
                  11,            0.062384,            0.017153,            0.027696,             0.66993,             0.41176,             0.40927,             0.11659,            0.054294,            0.010087,             0.02456,             0.00934,             0.00934,             0.00934
                  12,            0.057474,            0.016395,            0.027773,             0.37247,                0.17,             0.18759,            0.046563,             0.06477,            0.007972,            0.025231,            0.009274,            0.009274,            0.009274
